X;Y;Z;idstation;nom;adresse1;adresse2;commune;numdansarr;nbbornette;stationbon;pole;ouverte;achevement;gid;code_insee
4.80089602409204;45.7495654052049;0;22001;Sainte Foy - Place Saint-Luc;Place Saint-Luc;;SAINTE-FOY-LES-LYON;;15;;Sainte-Foy-lès-Lyon;Oui;;390;69202
4.88702481170959;45.7085339720956;0;16005;Vénissieux - Gare;122b Avenue Jules Guesde;;VENISSIEUX;;25;;Vénissieux;Oui;;391;69259
4.83300213608228;45.8749934925375;0;33001;Albigny - Gare;Place de la Gare;;ALBIGNY-SUR-SAONE;;18;;;Oui;;392;69003
4.8386237264876;45.8766089913122;0;34001;Neuville - Quai Pasteur;"5, Quai Pasteur";Angle Place Ampère;NEUVILLE-SUR-SAONE;;20;;;Oui;;393;69143
4.8634641019604;45.7543008100597;0;3066;Kimmerling - Faure;"139, Avenue Félix Faure";;Lyon 3 ème;66;19;;"Bureaux, habitat, collège";Oui;;394;69383
4.83241213375528;45.8459976867575;0;32001;Couzon - Centre;Quai Jean Lavergne;;COUZON-AU-MONT-D'OR;;17;;;Oui;;395;69068
4.83706237202871;45.7574175254861;0;2018;Hôtel Dieu / Pont de la Guillotière;"Face 26, Quai Jules courmont";;Lyon 2 ème;18;50;;Hôtel Dieu;Oui;Monté;396;69382
4.88753876604938;45.7307139653715;0;8023;Mermoz / Pinel;Avenue Jean Mermoz;Boulevard Pinel;Lyon 8 ème;;23;;Lyon 8ème arrondissement;Oui;;397;69388
4.84736888295985;45.7437118135706;0;7011;Berthelot / Garibaldi;"111, Avenue Berthelot";Rue Garibaldi;Lyon 7 ème;11;15;;"tram, itinéraires cyclables";Oui;;398;69387
4.7983317319214;45.7201577769261;0;20003;Oullins - Pont Blanc;"Face 56, Boulevard de l'Yzeron";;OULLINS;;24;;zola_yzeron;Oui;;399;69149
4.81717360852014;45.7459165775636;0;2021;Bayard / Rambaud;"15, Quai Rambaud";;Lyon 2 ème;;30;;Lyon 2ème arrondissement;Oui;;400;69382
4.86037208946724;45.7422568774362;0;8055;Saint-Romain / Berliet;"57, Rue Marius Berliet
57, Rue Marius Berliet";;Lyon 8 ème;;20;;;Oui;;401;69388
4.85480157623511;45.7193988058185;0;16002;Vénissieux - Levy - Vienne;"1, Avenue du Docteur Georges Lévy";;VENISSIEUX;;18;;Vénissieux;Oui;;402;69259
4.86177560413833;45.7080855971723;0;17003;Saint Fons - Théatre;"59, Rue Carnot";;SAINT-FONS;;18;;Saint-Fons;Oui;;403;69199
4.84115208860552;45.7367908138389;0;7019;Croix Barret / Artillerie;"5, Rue Croix-Barret";;Lyon 7 ème;;32;;;Oui;;404;69387
4.93101431567089;45.7144103841042;0;15001;Saint Priest - Parc Technologique;"312, Cours du 3ème Millénaire";;SAINT-PRIEST;;20;;parc technologique;Oui;;405;69290
4.81960186875527;45.7997914275755;0;25001;Saint Cyr;"3, Rue de St-Cyr";;SAINT-CYR-AU-MONT-D'OR;;12;;saint cyr saint didier;Oui;;406;69191
4.80853463534392;45.7915736750577;0;26001;Saint Didier - Pasteur / Saint-Cyr;"113, Rue de St Cyr";;SAINT-DIDIER-AU-MONT-D'OR;;17;;;Oui;;407;69194
4.79840761495355;45.7600785770139;0;5044;Champvert;"67, Rue Edmond Locard";;Lyon 5 ème;44;15;;"Stade Edmond Locard, Skate Park";Oui;;408;69385
4.87016139600862;45.7669053920041;0;10045;Anatole France / Alsace;24 Rue Anatole France;;VILLEURBANNE;;20;;Villeurbanne;Oui;;409;69266
4.87412753261051;45.7316833148739;0;8060;Santy / Beauvisage;"Face 9, Rue Pierre Verger";Angle Rue Maryse Bastié;Lyon 8 ème;60;17;;Maillage;Oui;;410;69388
4.86514153673672;45.7322180106597;0;8029;Etats-Unis / Lévigne;"78, Boulevard des Etats-Unis";Angle Rue Emile Combes et Rue Théodore Lévigne;Lyon 8 ème;29;20;;"Commerce, habitat, école, tramway T4";Oui;;411;69388
4.84270600035762;45.7227999997409;0;7015;Techsud;"Face 2, Rue Professeur Jean Bernard";angle du Boulevard Chambaud de la Bruyère;Lyon 7 ème;66;12;;;Oui;;412;69387
4.91710048563201;45.7366744242415;0;14003;Bron - Place Curial;"70, Avenue Mal. de Lattre de Tassigny";Contre Allée F. Mitterrand;BRON;;25;;place_curial;Oui;;413;69029
4.81463547661984;45.7273693332767;0;21001;La Mulatière - Aquarium;Rue Stéphane Déchant;;LA MULATIERE;;24;;P1_dechant;Oui;;414;69142
4.8153350287499;45.7361815820861;0;2019;Sucrière;Place Chevalier de Saint-Georges;;Lyon 2 ème;;20;;Lyon 2ème arrondissement;Oui;;415;69382
4.82980714483272;45.7530892095642;0;2038;Remparts d'Ainay;"15, Rue des Remparts d'Ainay";;Lyon 2 ème;;24;;;Oui;;416;69382
4.91520849999098;45.722660731506;0;14005;Bron - Université;"5, Avenue Pierre Mendès France";;BRON;;30;;;Oui;;417;69029
4.85835099773889;45.7257547271143;0;16001;Vénissieux - Place Romand;Place Ennemond Romand;;VENISSIEUX;;20;;Lyon 8ème arrondissement;Oui;;418;69259
4.84333131610684;45.7915896614286;0;11004;Branly / Pasteur;"75, Rue Pasteur";;CALUIRE-ET-CUIRE;;15;;;Oui;;419;69034
4.87139733815499;45.7550605472609;0;3068;Faure / Meynis;"202, Avenue Félix Faure";;Lyon 3 ème;;28;;;Oui;Monté;420;69383
4.85877100330515;45.7526125818454;0;3035;Philomène Magnin;"3, Rue Philomène Magnin";;Lyon 3 ème;;24;;buire_vivier_merle;Oui;;421;69383
4.85208598124682;45.7666921938824;0;6039;Garibaldi / Vauban;"Face 99, Rue Bugeaud";Place Cardinal Jean Villot;Lyon 6 ème;;20;;Lyon 6ème arrondissement;Oui;;422;69386
4.88704345081767;45.8159701108687;0;30002;Rillieux - Loup Pendu;"196, Avenue Pierre Mendes France";;RILLIEUX-LA-PAPE;;18;;loup_pendu;Oui;;423;69286
4.92688555990779;45.7862776558452;0;12005;Place Boissier;"7, Place Boissier";;VAULX-EN-VELIN;;20;;;Non;;424;69256
4.82560539394458;45.7461030735745;0;2027;Perrache Est;48 Cours Suchet;;Lyon 2 ème;;20;;Lyon 2ème arrondissement;Oui;;425;69382
4.8577376181705;45.7535182868895;0;3040;Faure / Danton;"87, Avenue Félix Faure";;Lyon 3 ème;;35;;;Oui;Monté;426;69383
4.83413844450288;45.7367572482026;0;7017;Beauvoir / Marot;"26, Rue Simone de Beauvoir";;Lyon 7 ème;;20;;Lyon 7ème arrondissement;Oui;;427;69387
4.85848883968644;45.7575354402959;0;3138;Vivier Merle / Paul Bert Ouest;"Face 65, Boulevard Vivier Merle";angle rue Paul Bert;Lyon 3 ème;138;19;;CAFAL;Non;Monté;428;69383
